Polling agency,NDA,INDIA,Others,Lead
ABP News-CVoter,368,167,8,96
Agni News Services,242,264,37,NA
Dainik Bhaskar,316,173,41,44
DB Live,221,275,38,3
India Today-Axis My India,381,148,14,109
India News-Dynamics,371,125,47,99
India TV-CNX,386,134,33,96
NDTV-Jan Ki Baat,377,151,15,105
News18-CNBC,362,132,47,90
News 24-Today's Chanakya,400,107,36,128
News Nation,360,161,22,88
Republic TV-Matrize,360,126,30,88
Republic TV-PMarq,359,154,30,87
Times Now-ETG,358,152,33,86
TV9 Bharatvarsh - People's Insight - Polstrat,346,162,35,74
