Polling agency,NDA,INDIA,Others,Lead
ABP News-CVoter,368±15,167±15,8±4,96
Agni News Services,242,264,37,HUNG
Dainik Bhaskar,316±34,173±28,41±8,44
DB Live,221±20,275±15,38±10,3
India Today-Axis My India,381±20,148±18,14±6,109
India News-Dynamics,371,125,47,99
India TV-CNX,386±15,134±15,33±5,96
NDTV-Jan Ki Baat,377±15,151±10,15±5,105
News18-CNBC,362±8,132±8,47±5,90
News 24-Today's Chanakya,400±15,107±11,36±9,128
News Nation,360±18,161±8,22±1,88
Republic TV-Matrize,360±8,126±8,30,88
Republic TV-PMarq,359,154,30,87
Times Now-ETG,358,152,33,86
TV9 Bharatvarsh - People's Insight - Polstrat,346,162,35,74
